Job_ID,Job_Title,Experience_Level,Min_Experience_Years,Skills_Required,Skill_Count
Software_Engineer,Software Engineer,All Levels,0,"python, java, javascript, git, agile development, object oriented programming, design patterns, rest api, unit testing, docker, linux, problem solving, data structures, algorithms, html, css, microservices, ci/cd pipelines, postgresql, redis, system design, kubernetes, performance tuning, code review, technical roadmap, mentoring, architecture design, stakeholder management",28
Frontend_Developer,Frontend Developer,All Levels,0,"html, css, javascript, reactjs, typescript, responsive design, web accessibility, git, tailwind css, figma, bootstrap, jquery, basic ui/ux principles, vue.js, angular, webpack, jest, sass, performance optimization, seo best practices, micro frontends, storybook, design system architecture, cross-team collaboration, a/b testing strategy, mentoring",26
Backend_Developer,Backend Developer,All Levels,0,"python, java, node.js, rest api, graphql, mysql, postgresql, mongodb, docker, git, linux, django, spring basics, basic sql, redis, message queues, ci/cd pipelines, api security, system design, database optimization, kubernetes, grpc, service mesh, mentoring, technical strategy, cost optimization",26
Full_Stack_Developer,Full Stack Developer,All Levels,0,"javascript, python, html, css, reactjs, node.js, mongodb, postgresql, rest api, git, docker, express.js, basic devops, responsive design, typescript, graphql, redis, ci/cd pipelines, microservices, system design, performance optimization, cloud deployment, architecture decisions, team leadership, product planning, cross-functional collaboration",26
Data_Scientist,Data Scientist,All Levels,0,"python, r, machine learning, pandas, numpy, scikit-learn, data visualization, sql, statistics, jupyter, matplotlib, seaborn, data cleaning, hypothesis testing, tensorflow, feature engineering, nlp basics, a/b testing, deep learning, mlflow, model deployment, causal inference, ml strategy, research direction, stakeholder communication, team mentoring",26
Data_Analyst,Data Analyst,All Levels,0,"sql, excel, python, data visualization, tableau, power bi, statistical analysis, data cleaning, reporting, google analytics, basic python, pivot tables, pandas, etl pipelines, dashboarding, business intelligence, advanced sql, predictive analytics, data storytelling, looker, analytics strategy, data governance, cross-department insights, mentoring analysts",24
Machine_Learning_Engineer,Machine Learning Engineer,All Levels,0,"python, tensorflow, pytorch, scikit-learn, docker, git, sql, feature engineering, model evaluation, numpy, pandas, basic ml algorithms, jupyter, mlflow, model serving, kubeflow, data pipelines, distributed training, model optimization, llm fine-tuning, kubernetes, ml platform design, research to production, team leadership, ml strategy",25
DevOps_Engineer,DevOps Engineer,All Levels,0,"linux, docker, kubernetes, ci/cd pipelines, git, bash scripting, ansible, terraform, monitoring, jenkins basics, cloud basics, networking fundamentals, prometheus, grafana, helm, aws/gcp, security scanning, infrastructure as code, disaster recovery, cost optimization, service mesh, platform engineering, sre practices, cross-team devops strategy, tooling selection",25
Cloud_Engineer,Cloud Engineer,All Levels,0,"aws, azure, gcp, terraform, docker, kubernetes, networking, iam & security, linux, git, cloud fundamentals, basic networking, s3/ec2/lambda basics, cloud architecture patterns, cost management, multi-cloud, cloud databases, well-architected framework, migration strategy, serverless architecture, high availability, cloud strategy, vendor management, enterprise architecture, finops",25
Cybersecurity_Analyst,Cybersecurity Analyst,All Levels,0,"network security, siem tools, vulnerability assessment, incident response, threat intelligence, linux, firewalls, python, wireshark, nmap, basic penetration testing, log analysis, splunk, ids/ips systems, malware analysis, security frameworks, threat hunting, forensic analysis, zero trust architecture, red teaming, security strategy, compliance management, team leadership, risk governance",24
Database_Administrator,Database Administrator,All Levels,0,"sql, postgresql, mysql, oracle, database design, backup & recovery, performance tuning, indexing, linux, basic sql queries, data modeling, database installation, replication, stored procedures, query optimization, mongodb, high availability setups, database security, capacity planning, cassandra, database strategy, migration planning, cross-team data governance, mentoring",24
Mobile_Developer,Mobile Developer,All Levels,0,"swift, kotlin, react native, flutter, rest api, git, mobile ui design, debugging, app store deployment, basic swift or kotlin, ui components, local storage, push notifications, offline support, ci/cd for mobile, performance optimization, native module bridging, app architecture (mvvm/clean), security best practices, deep linking, cross-platform strategy, team mentoring, release management, roadmap planning",24
QA_Engineer,QA Engineer,All Levels,0,"manual testing, test planning, bug tracking, selenium, jira, regression testing, api testing, git, test case writing, basic automation, postman, cypress, pytest, ci integration, performance testing, test architecture, load testing (jmeter/k6), shift-left testing, risk analysis, qa strategy, test automation framework design, mentoring, release sign-off",23
UI_UX_Designer,UI/UX Designer,All Levels,0,"figma, user research, wireframing, prototyping, usability testing, information architecture, design systems, sketch, basic html/css, moodboarding, user personas, interaction design, accessibility (wcag), adobe xd, journey mapping, design system leadership, cross-product consistency, quantitative ux research, ab testing, design strategy, stakeholder alignment, team mentoring, product vision",23
Product_Manager,Product Manager,All Levels,0,"product roadmap, stakeholder management, agile/scrum, user stories, market research, prioritization frameworks, data-driven decision making, communication, jira, basic analytics, customer interviews, competitive analysis, go-to-market strategy, kpi tracking, a/b testing, sql basics, product strategy, p&l ownership, executive presentations, growth loops, portfolio management, organizational alignment, vision setting, team leadership",24
Project_Manager,Project Manager,All Levels,0,"project planning, risk management, stakeholder communication, agile methodologies, jira, ms project, budget management, reporting, meeting facilitation, gantt charts, basic risk tracking, resource planning, scrum master, vendor management, change management, program management, pmp certification, executive reporting, portfolio planning, enterprise project governance, organizational change, strategic alignment, mentoring pms",23
Site_Reliability_Engineer,Site Reliability Engineer,All Levels,0,"linux, python, kubernetes, prometheus, grafana, incident management, slo/sla, distributed systems, git, bash scripting, basic monitoring, on-call procedures, chaos engineering, capacity planning, tracing (jaeger/zipkin), postmortem culture, reliability architecture, toil reduction, advanced alerting, service mesh, sre culture adoption, platform reliability strategy, team leadership, executive reporting",24
AI_Engineer,AI Engineer,All Levels,0,"python, pytorch, tensorflow, llm apis, prompt engineering, vector databases, rag architecture, git, rest api, hugging face transformers, openai api, basic nlp, langchain basics, fine-tuning llms, embeddings, mlflow, ai evaluation frameworks, agentic systems, multimodal models, model optimization, responsible ai, ai product strategy, research direction, team mentoring, cross-functional leadership",25
Embedded_Systems_Engineer,Embedded Systems Engineer,All Levels,0,"c, c++, rtos, microcontrollers, uart/spi/i2c, debugging, hardware interfacing, linux kernel, git, arduino, raspberry pi, basic circuit reading, assembly basics, device drivers, power management, bootloaders, fpga basics, system architecture, hardware-software co-design, real-time optimization, ota updates, hardware roadmap, cross-functional leadership, safety-critical systems, vendor management",25
Data_Engineer,Data Engineer,All Levels,0,"python, sql, apache spark, kafka, airflow, etl pipelines, data warehousing, git, cloud storage, pandas, basic sql, data ingestion, csv/json handling, dbt, redshift/bigquery, data modeling, pipeline monitoring, streaming architecture, lakehouse design, data quality frameworks, spark optimization, data platform strategy, data mesh, team mentoring, cross-org data governance",25
Blockchain_Developer,Blockchain Developer,All Levels,0,"solidity, ethereum, smart contracts, web3.js, cryptography, defi protocols, git, javascript, truffle/hardhat, metamask, basic smart contracts, remix ide, erc standards, security auditing, ipfs, layer 2 solutions, protocol design, cross-chain bridges, gas optimization, zk proofs, blockchain architecture, tokenomics, team leadership, ecosystem strategy",24
Game_Developer,Game Developer,All Levels,0,"c++, unity, unreal engine, game physics, 3d math, version control, problem solving, oop, c# basics, 2d game development, basic animation, collision detection, multiplayer systems, shader programming, ai pathfinding, performance profiling, engine architecture, advanced rendering, custom physics, procedural generation, game design leadership, studio pipeline, team mentoring, production planning",24
Systems_Administrator,Systems Administrator,All Levels,0,"linux, windows server, active directory, networking, bash scripting, monitoring, backup & recovery, virtualization, helpdesk support, dns/dhcp basics, hardware setup, vmware/hyper-v, powershell, patch management, ldap, enterprise networking, sso/saml, disaster recovery planning, automation, it infrastructure strategy, vendor management, compliance, team management",23
Technical_Writer,Technical Writer,All Levels,0,"technical documentation, markdown, api documentation, content strategy, editing, git, communication, confluence, google docs, basic html, style guides, docs-as-code, swagger/openapi docs, developer portals, dita, information architecture, user research for docs, localization management, toolchain setup, documentation strategy, team leadership, cross-product standardization, editorial governance",23
